composition,Atoms,isovalent
Na9Pb8Br1,"[9, 8, 1]",False
Na10Pb1Br9,"[10, 1, 9]",False
Na10Pb3Br7,"[10, 3, 7]",False
Na10Pb7Br3,"[10, 7, 3]",False
Na10Pb9Br1,"[10, 9, 1]",False
Na1Pb1I3,"[1, 1, 3]",True
Na1Pb2I5,"[1, 2, 5]",True
Na1Pb3I7,"[1, 3, 7]",False
Na1Pb4I9,"[1, 4, 9]",False
Na1Pb5I11,"[1, 5, 11]",False
Na1Pb6I13,"[1, 6, 13]",False
Na2Pb1I1,"[2, 1, 1]",False
Na2Pb1I4,"[2, 1, 4]",False
Na2Pb3I8,"[2, 3, 8]",False
Na2Pb5I12,"[2, 5, 12]",False
Na3Pb1I2,"[3, 1, 2]",False
Na3Pb1I5,"[3, 1, 5]",True
Na3Pb2I1,"[3, 2, 1]",False
Na3Pb2I7,"[3, 2, 7]",False
Na3Pb4I11,"[3, 4, 11]",False
Na4Pb1I3,"[4, 1, 3]",False
Na4Pb1I6,"[4, 1, 6]",True
Na4Pb3I1,"[4, 3, 1]",False
Na4Pb3I10,"[4, 3, 10]",False
Na5Pb1I4,"[5, 1, 4]",False
Na5Pb1I7,"[5, 1, 7]",False
Na5Pb2I3,"[5, 2, 3]",False
Na5Pb2I9,"[5, 2, 9]",False
Na5Pb3I2,"[5, 3, 2]",False
Na5Pb3I11,"[5, 3, 11]",False
Na5Pb4I1,"[5, 4, 1]",False
Na6Pb1I5,"[6, 1, 5]",False
Na6Pb1I8,"[6, 1, 8]",False
Na6Pb5I1,"[6, 5, 1]",False
Na7Pb1I6,"[7, 1, 6]",False
Na7Pb1I9,"[7, 1, 9]",False
Na7Pb2I5,"[7, 2, 5]",False
Na7Pb2I11,"[7, 2, 11]",False
Na7Pb3I4,"[7, 3, 4]",False
Na7Pb4I3,"[7, 4, 3]",False
Na7Pb5I2,"[7, 5, 2]",False
Na7Pb6I1,"[7, 6, 1]",False
Na8Pb1I7,"[8, 1, 7]",False
Na8Pb1I10,"[8, 1, 10]",False
Na8Pb3I5,"[8, 3, 5]",False
Na8Pb5I3,"[8, 5, 3]",False
Na8Pb7I1,"[8, 7, 1]",False
Na9Pb1I8,"[9, 1, 8]",False
Na9Pb2I7,"[9, 2, 7]",False
Na9Pb4I5,"[9, 4, 5]",False
Na9Pb5I4,"[9, 5, 4]",False
Na9Pb7I2,"[9, 7, 2]",False
Na9Pb8I1,"[9, 8, 1]",False
Na10Pb1I9,"[10, 1, 9]",False
Na10Pb3I7,"[10, 3, 7]",False
Na10Pb7I3,"[10, 7, 3]",False
Na10Pb9I1,"[10, 9, 1]",False
Na1Sb1Br4,"[1, 1, 4]",True
Na1Sb2Br7,"[1, 2, 7]",True
Na1Sb3Br10,"[1, 3, 10]",False
Na1Sb4Br13,"[1, 4, 13]",False
Na2Sb1Br5,"[2, 1, 5]",True
Na2Sb3Br11,"[2, 3, 11]",False
Na3Sb1Br6,"[3, 1, 6]",True
Na3Sb2Br9,"[3, 2, 9]",True
Na4Sb1Br1,"[4, 1, 1]",False
Na4Sb1Br7,"[4, 1, 7]",False
Na4Sb3Br13,"[4, 3, 13]",False
Na5Sb1Br2,"[5, 1, 2]",False
Na5Sb1Br8,"[5, 1, 8]",False
Na5Sb2Br11,"[5, 2, 11]",False
Na6Sb1Br3,"[6, 1, 3]",False
Na6Sb1Br9,"[6, 1, 9]",False
Na7Sb1Br4,"[7, 1, 4]",False
Na7Sb1Br10,"[7, 1, 10]",False
Na7Sb2Br1,"[7, 2, 1]",False
Na8Sb1Br5,"[8, 1, 5]",False
Na8Sb1Br11,"[8, 1, 11]",False
Na9Sb1Br6,"[9, 1, 6]",False
Na9Sb2Br3,"[9, 2, 3]",False
Na10Sb1Br7,"[10, 1, 7]",False
Na10Sb3Br1,"[10, 3, 1]",False
Na11Sb1Br8,"[11, 1, 8]",False
Na11Sb2Br5,"[11, 2, 5]",False
Na11Sb3Br2,"[11, 3, 2]",False
Na13Sb3Br4,"[13, 3, 4]",False
Na13Sb4Br1,"[13, 4, 1]",False
Na1Sb1I4,"[1, 1, 4]",True
Na1Sb2I7,"[1, 2, 7]",True
Na1Sb3I10,"[1, 3, 10]",False
Na1Sb4I13,"[1, 4, 13]",False
Na2Sb1I5,"[2, 1, 5]",True
Na2Sb3I11,"[2, 3, 11]",False
Na3Sb1I6,"[3, 1, 6]",True
Na3Sb2I9,"[3, 2, 9]",True
Na4Sb1I1,"[4, 1, 1]",False
Na4Sb1I7,"[4, 1, 7]",False
Na4Sb3I13,"[4, 3, 13]",False
Na5Sb1I2,"[5, 1, 2]",False
Na5Sb1I8,"[5, 1, 8]",False
Na5Sb2I11,"[5, 2, 11]",False
Na6Sb1I3,"[6, 1, 3]",False
Na6Sb1I9,"[6, 1, 9]",False
Na7Sb1I4,"[7, 1, 4]",False
Na7Sb1I10,"[7, 1, 10]",False
Na7Sb2I1,"[7, 2, 1]",False
Na8Sb1I5,"[8, 1, 5]",False
Na8Sb1I11,"[8, 1, 11]",False
Na9Sb1I6,"[9, 1, 6]",False
Na9Sb2I3,"[9, 2, 3]",False
Na10Sb1I7,"[10, 1, 7]",False
Na10Sb3I1,"[10, 3, 1]",False
Na11Sb1I8,"[11, 1, 8]",False
Na11Sb2I5,"[11, 2, 5]",False
Na11Sb3I2,"[11, 3, 2]",False
Na13Sb3I4,"[13, 3, 4]",False
Na13Sb4I1,"[13, 4, 1]",False
Na1Sn1Br5,"[1, 1, 5]",False
Na1Sn2Br9,"[1, 2, 9]",False
Na1Sn3Br13,"[1, 3, 13]",False
Na2Sn1Br6,"[2, 1, 6]",True
Na2Sn3Br14,"[2, 3, 14]",False
Na3Sn1Br7,"[3, 1, 7]",False
Na3Sn2Br11,"[3, 2, 11]",False
Na4Sn1Br8,"[4, 1, 8]",False
Na5Sn1Br9,"[5, 1, 9]",False
Na5Sn2Br13,"[5, 2, 13]",False
Na6Sn1Br10,"[6, 1, 10]",False
Na7Sn1Br11,"[7, 1, 11]",False
Na1Sn1I5,"[1, 1, 5]",False
Na1Sn2I9,"[1, 2, 9]",False
Na1Sn3I13,"[1, 3, 13]",False
Na2Sn1I6,"[2, 1, 6]",True
Na2Sn3I14,"[2, 3, 14]",False
Na3Sn1I7,"[3, 1, 7]",False
Na3Sn2I11,"[3, 2, 11]",False
Na4Sn1I8,"[4, 1, 8]",False
Na5Sn1I9,"[5, 1, 9]",False
Na5Sn2I13,"[5, 2, 13]",False
Na6Sn1I10,"[6, 1, 10]",False
Na7Sn1I11,"[7, 1, 11]",False
Na1In1Br4,"[1, 1, 4]",True
Na1In2Br7,"[1, 2, 7]",True
Na1In3Br10,"[1, 3, 10]",False
Na1In4Br13,"[1, 4, 13]",False
Na2In1Br5,"[2, 1, 5]",True
Na2In3Br11,"[2, 3, 11]",False
Na3In1Br6,"[3, 1, 6]",True
Na3In2Br9,"[3, 2, 9]",True
Na4In1Br7,"[4, 1, 7]",False
Na4In3Br13,"[4, 3, 13]",False
Na5In1Br8,"[5, 1, 8]",False
Na5In2Br11,"[5, 2, 11]",False
Na6In1Br9,"[6, 1, 9]",False
Na7In1Br10,"[7, 1, 10]",False
Na8In1Br11,"[8, 1, 11]",False
Na1In1I4,"[1, 1, 4]",True
Na1In2I7,"[1, 2, 7]",True
Na1In3I10,"[1, 3, 10]",False
Na1In4I13,"[1, 4, 13]",False
Na2In1I5,"[2, 1, 5]",True
Na2In3I11,"[2, 3, 11]",False
Na3In1I6,"[3, 1, 6]",True
Na3In2I9,"[3, 2, 9]",True
Na4In1I7,"[4, 1, 7]",False
Na4In3I13,"[4, 3, 13]",False
Na5In1I8,"[5, 1, 8]",False
Na5In2I11,"[5, 2, 11]",False
Na6In1I9,"[6, 1, 9]",False
Na7In1I10,"[7, 1, 10]",False
Na8In1I11,"[8, 1, 11]",False
K1Bi1Br4,"[1, 1, 4]",True
K1Bi2Br7,"[1, 2, 7]",True
K1Bi3Br10,"[1, 3, 10]",False
K1Bi4Br13,"[1, 4, 13]",False
K2Bi1Br5,"[2, 1, 5]",True
K2Bi3Br11,"[2, 3, 11]",False
K3Bi1Br6,"[3, 1, 6]",True
K3Bi2Br9,"[3, 2, 9]",True
K4Bi1Br7,"[4, 1, 7]",False
K4Bi3Br13,"[4, 3, 13]",False
K5Bi1Br8,"[5, 1, 8]",False
K5Bi2Br11,"[5, 2, 11]",False
K6Bi1Br9,"[6, 1, 9]",False
K7Bi1Br10,"[7, 1, 10]",False
K8Bi1Br11,"[8, 1, 11]",False
K1Bi1I4,"[1, 1, 4]",True
K1Bi2I7,"[1, 2, 7]",True
K1Bi3I10,"[1, 3, 10]",False
K1Bi4I13,"[1, 4, 13]",False
K2Bi1I5,"[2, 1, 5]",True
K2Bi3I11,"[2, 3, 11]",False
K3Bi1I6,"[3, 1, 6]",True
K3Bi2I9,"[3, 2, 9]",True
K4Bi1I7,"[4, 1, 7]",False
K4Bi3I13,"[4, 3, 13]",False
K5Bi1I8,"[5, 1, 8]",False
K5Bi2I11,"[5, 2, 11]",False
K6Bi1I9,"[6, 1, 9]",False
K7Bi1I10,"[7, 1, 10]",False
K8Bi1I11,"[8, 1, 11]",False
K1Pb1Br3,"[1, 1, 3]",True
K1Pb2Br5,"[1, 2, 5]",True
K1Pb3Br7,"[1, 3, 7]",False
K1Pb4Br9,"[1, 4, 9]",False
K1Pb5Br11,"[1, 5, 11]",False
K1Pb6Br13,"[1, 6, 13]",False
K2Pb1Br1,"[2, 1, 1]",False
K2Pb1Br4,"[2, 1, 4]",False
K2Pb3Br8,"[2, 3, 8]",False
K2Pb5Br12,"[2, 5, 12]",False
K3Pb1Br2,"[3, 1, 2]",False
K3Pb1Br5,"[3, 1, 5]",True
K3Pb2Br1,"[3, 2, 1]",False
K3Pb2Br7,"[3, 2, 7]",False
K3Pb4Br11,"[3, 4, 11]",False
K4Pb1Br3,"[4, 1, 3]",False
K4Pb1Br6,"[4, 1, 6]",True
K4Pb3Br1,"[4, 3, 1]",False
K4Pb3Br10,"[4, 3, 10]",False
K5Pb1Br4,"[5, 1, 4]",False
K5Pb1Br7,"[5, 1, 7]",False
K5Pb2Br3,"[5, 2, 3]",False
K5Pb2Br9,"[5, 2, 9]",False
K5Pb3Br2,"[5, 3, 2]",False
K5Pb3Br11,"[5, 3, 11]",False
K5Pb4Br1,"[5, 4, 1]",False
K6Pb1Br5,"[6, 1, 5]",False
K6Pb1Br8,"[6, 1, 8]",False
K6Pb5Br1,"[6, 5, 1]",False
K7Pb1Br6,"[7, 1, 6]",False
K7Pb1Br9,"[7, 1, 9]",False
K7Pb2Br5,"[7, 2, 5]",False
K7Pb2Br11,"[7, 2, 11]",False
K7Pb3Br4,"[7, 3, 4]",False
K7Pb4Br3,"[7, 4, 3]",False
K7Pb5Br2,"[7, 5, 2]",False
K7Pb6Br1,"[7, 6, 1]",False
K8Pb1Br7,"[8, 1, 7]",False
K8Pb1Br10,"[8, 1, 10]",False
K8Pb3Br5,"[8, 3, 5]",False
K8Pb5Br3,"[8, 5, 3]",False
K8Pb7Br1,"[8, 7, 1]",False
K9Pb1Br8,"[9, 1, 8]",False
K9Pb2Br7,"[9, 2, 7]",False
K9Pb4Br5,"[9, 4, 5]",False
K9Pb5Br4,"[9, 5, 4]",False
K9Pb7Br2,"[9, 7, 2]",False
K9Pb8Br1,"[9, 8, 1]",False
K10Pb1Br9,"[10, 1, 9]",False
K10Pb3Br7,"[10, 3, 7]",False
K10Pb7Br3,"[10, 7, 3]",False
K10Pb9Br1,"[10, 9, 1]",False
K1Pb1I3,"[1, 1, 3]",True
K1Pb2I5,"[1, 2, 5]",True
K1Pb3I7,"[1, 3, 7]",False
K1Pb4I9,"[1, 4, 9]",False
K1Pb5I11,"[1, 5, 11]",False
K1Pb6I13,"[1, 6, 13]",False
K2Pb1I1,"[2, 1, 1]",False
K2Pb1I4,"[2, 1, 4]",False
K2Pb3I8,"[2, 3, 8]",False
K2Pb5I12,"[2, 5, 12]",False
K3Pb1I2,"[3, 1, 2]",False
K3Pb1I5,"[3, 1, 5]",True
K3Pb2I1,"[3, 2, 1]",False
K3Pb2I7,"[3, 2, 7]",False
K3Pb4I11,"[3, 4, 11]",False
K4Pb1I3,"[4, 1, 3]",False
K4Pb1I6,"[4, 1, 6]",True
K4Pb3I1,"[4, 3, 1]",False
K4Pb3I10,"[4, 3, 10]",False
K5Pb1I4,"[5, 1, 4]",False
K5Pb1I7,"[5, 1, 7]",False
K5Pb2I3,"[5, 2, 3]",False
K5Pb2I9,"[5, 2, 9]",False
K5Pb3I2,"[5, 3, 2]",False
K5Pb3I11,"[5, 3, 11]",False
K5Pb4I1,"[5, 4, 1]",False
K6Pb1I5,"[6, 1, 5]",False
K6Pb1I8,"[6, 1, 8]",False
K6Pb5I1,"[6, 5, 1]",False
K7Pb1I6,"[7, 1, 6]",False
K7Pb1I9,"[7, 1, 9]",False
K7Pb2I5,"[7, 2, 5]",False
K7Pb2I11,"[7, 2, 11]",False
K7Pb3I4,"[7, 3, 4]",False
K7Pb4I3,"[7, 4, 3]",False
K7Pb5I2,"[7, 5, 2]",False
K7Pb6I1,"[7, 6, 1]",False
K8Pb1I7,"[8, 1, 7]",False
K8Pb1I10,"[8, 1, 10]",False
K8Pb3I5,"[8, 3, 5]",False
K8Pb5I3,"[8, 5, 3]",False
K8Pb7I1,"[8, 7, 1]",False
K9Pb1I8,"[9, 1, 8]",False
K9Pb2I7,"[9, 2, 7]",False
K9Pb4I5,"[9, 4, 5]",False
K9Pb5I4,"[9, 5, 4]",False
K9Pb7I2,"[9, 7, 2]",False
K9Pb8I1,"[9, 8, 1]",False
K10Pb1I9,"[10, 1, 9]",False
K10Pb3I7,"[10, 3, 7]",False
K10Pb7I3,"[10, 7, 3]",False
K10Pb9I1,"[10, 9, 1]",False
K1Sb1Br4,"[1, 1, 4]",True
K1Sb2Br7,"[1, 2, 7]",True
K1Sb3Br10,"[1, 3, 10]",False
K1Sb4Br13,"[1, 4, 13]",False
K2Sb1Br5,"[2, 1, 5]",True
K2Sb3Br11,"[2, 3, 11]",False
K3Sb1Br6,"[3, 1, 6]",True
K3Sb2Br9,"[3, 2, 9]",True
K4Sb1Br1,"[4, 1, 1]",False
K4Sb1Br7,"[4, 1, 7]",False
K4Sb3Br13,"[4, 3, 13]",False
K5Sb1Br2,"[5, 1, 2]",False
K5Sb1Br8,"[5, 1, 8]",False
K5Sb2Br11,"[5, 2, 11]",False
K6Sb1Br3,"[6, 1, 3]",False
K6Sb1Br9,"[6, 1, 9]",False
K7Sb1Br4,"[7, 1, 4]",False
K7Sb1Br10,"[7, 1, 10]",False
K7Sb2Br1,"[7, 2, 1]",False
K8Sb1Br5,"[8, 1, 5]",False
K8Sb1Br11,"[8, 1, 11]",False
K9Sb1Br6,"[9, 1, 6]",False
K9Sb2Br3,"[9, 2, 3]",False
K10Sb1Br7,"[10, 1, 7]",False
K10Sb3Br1,"[10, 3, 1]",False
K11Sb1Br8,"[11, 1, 8]",False
K11Sb2Br5,"[11, 2, 5]",False
K11Sb3Br2,"[11, 3, 2]",False
K13Sb3Br4,"[13, 3, 4]",False
K13Sb4Br1,"[13, 4, 1]",False
K1Sb1I4,"[1, 1, 4]",True
K1Sb2I7,"[1, 2, 7]",True
K1Sb3I10,"[1, 3, 10]",False
K1Sb4I13,"[1, 4, 13]",False
K2Sb1I5,"[2, 1, 5]",True
K2Sb3I11,"[2, 3, 11]",False
K3Sb1I6,"[3, 1, 6]",True
K3Sb2I9,"[3, 2, 9]",True
K4Sb1I1,"[4, 1, 1]",False
K4Sb1I7,"[4, 1, 7]",False
K4Sb3I13,"[4, 3, 13]",False
K5Sb1I2,"[5, 1, 2]",False
K5Sb1I8,"[5, 1, 8]",False
K5Sb2I11,"[5, 2, 11]",False
K6Sb1I3,"[6, 1, 3]",False
K6Sb1I9,"[6, 1, 9]",False
K7Sb1I4,"[7, 1, 4]",False
K7Sb1I10,"[7, 1, 10]",False
K7Sb2I1,"[7, 2, 1]",False
K8Sb1I5,"[8, 1, 5]",False
K8Sb1I11,"[8, 1, 11]",False
K9Sb1I6,"[9, 1, 6]",False
K9Sb2I3,"[9, 2, 3]",False
K10Sb1I7,"[10, 1, 7]",False
K10Sb3I1,"[10, 3, 1]",False
K11Sb1I8,"[11, 1, 8]",False
K11Sb2I5,"[11, 2, 5]",False
K11Sb3I2,"[11, 3, 2]",False
K13Sb3I4,"[13, 3, 4]",False
K13Sb4I1,"[13, 4, 1]",False
K1Sn1Br5,"[1, 1, 5]",False
K1Sn2Br9,"[1, 2, 9]",False
K1Sn3Br13,"[1, 3, 13]",False
K2Sn1Br6,"[2, 1, 6]",True
K2Sn3Br14,"[2, 3, 14]",False
K3Sn1Br7,"[3, 1, 7]",False
K3Sn2Br11,"[3, 2, 11]",False
K4Sn1Br8,"[4, 1, 8]",False
K5Sn1Br9,"[5, 1, 9]",False
K5Sn2Br13,"[5, 2, 13]",False
K6Sn1Br10,"[6, 1, 10]",False
K7Sn1Br11,"[7, 1, 11]",False
K1Sn1I5,"[1, 1, 5]",False
K1Sn2I9,"[1, 2, 9]",False
K1Sn3I13,"[1, 3, 13]",False
K2Sn1I6,"[2, 1, 6]",True
K2Sn3I14,"[2, 3, 14]",False
K3Sn1I7,"[3, 1, 7]",False
K3Sn2I11,"[3, 2, 11]",False
K4Sn1I8,"[4, 1, 8]",False
K5Sn1I9,"[5, 1, 9]",False
K5Sn2I13,"[5, 2, 13]",False
K6Sn1I10,"[6, 1, 10]",False
K7Sn1I11,"[7, 1, 11]",False
K1In1Br4,"[1, 1, 4]",True
K1In2Br7,"[1, 2, 7]",True
K1In3Br10,"[1, 3, 10]",False
K1In4Br13,"[1, 4, 13]",False
K2In1Br5,"[2, 1, 5]",True
K2In3Br11,"[2, 3, 11]",False
K3In1Br6,"[3, 1, 6]",True
K3In2Br9,"[3, 2, 9]",True
K4In1Br7,"[4, 1, 7]",False
K4In3Br13,"[4, 3, 13]",False
K5In1Br8,"[5, 1, 8]",False
K5In2Br11,"[5, 2, 11]",False
K6In1Br9,"[6, 1, 9]",False
K7In1Br10,"[7, 1, 10]",False
K8In1Br11,"[8, 1, 11]",False
K1In1I4,"[1, 1, 4]",True
K1In2I7,"[1, 2, 7]",True
K1In3I10,"[1, 3, 10]",False
K1In4I13,"[1, 4, 13]",False
K2In1I5,"[2, 1, 5]",True
K2In3I11,"[2, 3, 11]",False
K3In1I6,"[3, 1, 6]",True
K3In2I9,"[3, 2, 9]",True
K4In1I7,"[4, 1, 7]",False
K4In3I13,"[4, 3, 13]",False
K5In1I8,"[5, 1, 8]",False
K5In2I11,"[5, 2, 11]",False
K6In1I9,"[6, 1, 9]",False
K7In1I10,"[7, 1, 10]",False
K8In1I11,"[8, 1, 11]",False
Rb1Bi1Br4,"[1, 1, 4]",True
Rb1Bi2Br7,"[1, 2, 7]",True
Rb1Bi3Br10,"[1, 3, 10]",False
Rb1Bi4Br13,"[1, 4, 13]",False
Rb2Bi1Br5,"[2, 1, 5]",True
Rb2Bi3Br11,"[2, 3, 11]",False
Rb3Bi1Br6,"[3, 1, 6]",True
Rb3Bi2Br9,"[3, 2, 9]",True
Rb4Bi1Br7,"[4, 1, 7]",False
Rb4Bi3Br13,"[4, 3, 13]",False
Rb5Bi1Br8,"[5, 1, 8]",False
Rb5Bi2Br11,"[5, 2, 11]",False
Rb6Bi1Br9,"[6, 1, 9]",False
Rb7Bi1Br10,"[7, 1, 10]",False
Rb8Bi1Br11,"[8, 1, 11]",False
Rb1Bi1I4,"[1, 1, 4]",True
Rb1Bi2I7,"[1, 2, 7]",True
Rb1Bi3I10,"[1, 3, 10]",False
Rb1Bi4I13,"[1, 4, 13]",False
Rb2Bi1I5,"[2, 1, 5]",True
Rb2Bi3I11,"[2, 3, 11]",False
Rb3Bi1I6,"[3, 1, 6]",True
Rb3Bi2I9,"[3, 2, 9]",True
Rb4Bi1I7,"[4, 1, 7]",False
Rb4Bi3I13,"[4, 3, 13]",False
Rb5Bi1I8,"[5, 1, 8]",False
Rb5Bi2I11,"[5, 2, 11]",False
Rb6Bi1I9,"[6, 1, 9]",False
Rb7Bi1I10,"[7, 1, 10]",False
Rb8Bi1I11,"[8, 1, 11]",False
Rb1Pb1Br3,"[1, 1, 3]",True
Rb1Pb2Br5,"[1, 2, 5]",True
Rb1Pb3Br7,"[1, 3, 7]",False
Rb1Pb4Br9,"[1, 4, 9]",False
Rb1Pb5Br11,"[1, 5, 11]",False
Rb1Pb6Br13,"[1, 6, 13]",False
Rb2Pb1Br1,"[2, 1, 1]",False
Rb2Pb1Br4,"[2, 1, 4]",False
Rb2Pb3Br8,"[2, 3, 8]",False
Rb2Pb5Br12,"[2, 5, 12]",False
Rb3Pb1Br2,"[3, 1, 2]",False
Rb3Pb1Br5,"[3, 1, 5]",True
Rb3Pb2Br1,"[3, 2, 1]",False
Rb3Pb2Br7,"[3, 2, 7]",False
Rb3Pb4Br11,"[3, 4, 11]",False
Rb4Pb1Br3,"[4, 1, 3]",False
Rb4Pb1Br6,"[4, 1, 6]",True
Rb4Pb3Br1,"[4, 3, 1]",False
Rb4Pb3Br10,"[4, 3, 10]",False
Rb5Pb1Br4,"[5, 1, 4]",False
Rb5Pb1Br7,"[5, 1, 7]",False
Rb5Pb2Br3,"[5, 2, 3]",False
Rb5Pb2Br9,"[5, 2, 9]",False
Rb5Pb3Br2,"[5, 3, 2]",False
Rb5Pb3Br11,"[5, 3, 11]",False
Rb5Pb4Br1,"[5, 4, 1]",False
Rb6Pb1Br5,"[6, 1, 5]",False
Rb6Pb1Br8,"[6, 1, 8]",False
Rb6Pb5Br1,"[6, 5, 1]",False
Rb7Pb1Br6,"[7, 1, 6]",False
Rb7Pb1Br9,"[7, 1, 9]",False
Rb7Pb2Br5,"[7, 2, 5]",False
Rb7Pb2Br11,"[7, 2, 11]",False
Rb7Pb3Br4,"[7, 3, 4]",False
Rb7Pb4Br3,"[7, 4, 3]",False
Rb7Pb5Br2,"[7, 5, 2]",False
Rb7Pb6Br1,"[7, 6, 1]",False
Rb8Pb1Br7,"[8, 1, 7]",False
Rb8Pb1Br10,"[8, 1, 10]",False
Rb8Pb3Br5,"[8, 3, 5]",False
Rb8Pb5Br3,"[8, 5, 3]",False
Rb8Pb7Br1,"[8, 7, 1]",False
Rb9Pb1Br8,"[9, 1, 8]",False
Rb9Pb2Br7,"[9, 2, 7]",False
Rb9Pb4Br5,"[9, 4, 5]",False
Rb9Pb5Br4,"[9, 5, 4]",False
Rb9Pb7Br2,"[9, 7, 2]",False
Rb9Pb8Br1,"[9, 8, 1]",False
Rb10Pb1Br9,"[10, 1, 9]",False
Rb10Pb3Br7,"[10, 3, 7]",False
Rb10Pb7Br3,"[10, 7, 3]",False
Rb10Pb9Br1,"[10, 9, 1]",False
Rb1Pb1I3,"[1, 1, 3]",True
Rb1Pb2I5,"[1, 2, 5]",True
Rb1Pb3I7,"[1, 3, 7]",False
Rb1Pb4I9,"[1, 4, 9]",False
Rb1Pb5I11,"[1, 5, 11]",False
Rb1Pb6I13,"[1, 6, 13]",False
Rb2Pb1I1,"[2, 1, 1]",False
Rb2Pb1I4,"[2, 1, 4]",False
Rb2Pb3I8,"[2, 3, 8]",False
Rb2Pb5I12,"[2, 5, 12]",False
Rb3Pb1I2,"[3, 1, 2]",False
Rb3Pb1I5,"[3, 1, 5]",True
Rb3Pb2I1,"[3, 2, 1]",False
Rb3Pb2I7,"[3, 2, 7]",False
Rb3Pb4I11,"[3, 4, 11]",False
Rb4Pb1I3,"[4, 1, 3]",False
Rb4Pb1I6,"[4, 1, 6]",True
Rb4Pb3I1,"[4, 3, 1]",False
Rb4Pb3I10,"[4, 3, 10]",False
Rb5Pb1I4,"[5, 1, 4]",False
Rb5Pb1I7,"[5, 1, 7]",False
Rb5Pb2I3,"[5, 2, 3]",False
Rb5Pb2I9,"[5, 2, 9]",False
Rb5Pb3I2,"[5, 3, 2]",False
Rb5Pb3I11,"[5, 3, 11]",False
Rb5Pb4I1,"[5, 4, 1]",False
Rb6Pb1I5,"[6, 1, 5]",False
