material_id,pretty_formula,icsd_ids
mp-14206,K3Ag3As2,[32016]
mp-1490,AlAu4,"[655053, 104616, 606018, 606030, 57498]"
mp-14972,Ba3Sc(BO3)3,[75340]
mp-14973,AgMo2P3O13,[75353]
mp-15788,LiYS2,[44957]
mp-16804,LiCaPO4,[66387]
mp-17113,Sm2Ru2O7,[78142]
mp-17404,Y2Si2O7,[33721]
mp-17771,NaMg4(AsO4)3,[59888]
mp-17801,Hf2CuGe4,[30733]
mp-18866,CaV4O9,"[90927, 2556]"
mp-19013,LiV2O5,"[201974, 88642, 50980, 50982]"
mp-19271,BaCrO3,[35029]
mp-1934,LiZn,"[642409, 642412, 104791, 104792]"
mp-19517,KVPO5,"[79651, 69556]"
mp-19873,DySiRu,[88065]
mp-20597,TbMnSi,"[88060, 88271]"
mp-2079,Rb2P3,"[654296, 65184]"
mp-21001,Y(GeRu)2,"[637769, 52766]"
mp-21260,FeSn,"[152339, 161112, 633747, 161122, 103634, 161121, 161120, 633740, 103635, 161109, 161119]"
mp-22505,GdAl3Pd2,[105145]
mp-22995,Ag3SI,"[159858, 93431, 174095, 26450, 201005]"
mp-23187,La4Bi3,"[616759, 616755, 602181]"
mp-23208,UCl3,"[2353, 30729, 31570, 202333, 27857]"
mp-23434,Al2CuCl8,"[80107, 14107, 54066]"
mp-23701,CaB8H4O15,"[250323, 171019, 415082]"
mp-24291,ThH2,"[654527, 24623, 56178, 180580]"
mp-27209,KTlF4,[4046]
mp-27638,NiI2,[22108]
mp-28192,AuSCl5,[39532]
mp-2843,SnF2,"[35465, 10485, 308]"
mp-28501,K2(NbCl3)3,[41118]
mp-28518,Tl6SBr4,[40521]
mp-28626,LaSO,[68498]
mp-28698,Na4IrO4,[67826]
mp-29076,FeWN2,"[75971, 81488]"
mp-29488,Na2ZnO2,[404761]
mp-29506,CsBiO2,[406564]
mp-30419,USnAu2,[58593]
mp-30954,GaI3,[413457]
mp-31222,Th6Mn23,"[638318, 659911, 104987, 643814]"
mp-31508,KPb2Br5,[250266]
mp-398,ErGa3,"[194419, 103232, 602415, 103231, 630546, 630549]"
mp-4165,TaNO,"[2363, 192423, 187412, 192273, 1032, 98662]"
mp-4233,KMnSb,"[602269, 89591, 89590]"
mp-4698,K2Ge8O17,"[69428, 9296]"
mp-4767,Ce(SiOs)2,"[621744, 621738, 621740]"
mp-505392,Ba3V4O13,[202426]
mp-5152,La2SiO5,"[157892, 109414]"
mp-5330,LaAlSi2,"[94501, 94502]"
mp-541014,Cs3Sb2I9,"[84990, 89695, 39822]"
mp-541495,KY(PO3)4,[80114]
mp-541735,K4Ti3S14,"[202464, 68154]"
mp-542587,Ge3Pt2,"[43683, 42912, 637639]"
mp-546350,TmBi2BrO4,[92421]
mp-5503,ErTaO4,"[153365, 109189, 153364]"
mp-550479,Co(ReO4)2,[51015]
mp-555012,La6S4N3Cl,[78925]
mp-555414,Ba3Sb4O,[415032]
mp-555914,K2CaP2O7,[281572]
mp-556112,AuCS2Cl3,[63379]
mp-556195,Na2AlB(As2O7)2,[62964]
mp-557035,K3SO4F,[81835]
mp-557321,As4S3,"[16105, 188059, 611308]"
mp-557365,K6U5V2O23,[91313]
mp-557591,SiO2,[170490]
mp-557653,SiO2,[75665]
mp-558226,H2O,[249225]
mp-558611,Ba(FeO2)2,[60662]
mp-559560,Nd2Ti3(ClO4)2,[33908]
mp-559941,Ba2V3BiO11,[78156]
mp-561,Nb3Se4,"[43281, 602364, 16278]"
mp-561006,Na2CaVP2O9,[99616]
mp-561315,Cs3AlGe2O7,[412140]
mp-561349,RbVPO5,[72635]
mp-561725,CsBO2,[74888]
mp-562809,GdBi2BrO4,[92415]
mp-568424,CaAlAu,[370015]
mp-569604,SbH18C3(NCl2)3,[110625]
mp-570005,SbBr3,[27405]
mp-570800,U2MnN3,[76068]
mp-570963,TaCr2,"[626859, 106524, 626866]"
mp-572906,Cs2U2Mo3O16,[280800]
mp-574620,CsYZnSe3,[280847]
mp-582,CeIr2,"[621397, 621407, 621406, 102194, 621398, 621408]"
mp-5936,La(SiRh)2,"[603880, 641750, 601614, 604623, 641747, 601417, 641752]"
mp-600172,CuH12C5S4N,[110091]
mp-602,Te2Mo,"[644476, 15431, 24155, 644481]"
mp-603609,AlH20Ru(Cl3O5)2,[4405]
mp-6088,LaCuSO,"[96343, 96754, 86249, 201046]"
mp-611448,C,[66467]
mp-617,PtO2,"[76431, 24922, 164289]"
mp-622211,Ba2EuCu3O7,[81171]
mp-6253,KLiBeF4,[2939]
mp-6299,K2Mg2(SO4)3,"[16702, 40986, 100420]"
mp-6406,Na2MgSiO4,"[15619, 15618]"
mp-641621,U4Ga12Co,[156307]
mp-644409,LiAlPHO5,[68921]
mp-644751,BN,[162876]
mp-645068,Ce2In3Ru2,[157331]
mp-6499,BaLiBO3,"[73218, 92843]"
mp-6528,Cs2NaAlF6,"[93459, 200305, 41801, 93458]"
mp-653579,Re3S4Cl,[67658]
mp-680500,PtXeF11,[22094]
mp-683883,AlPO4,[98365]
mp-720417,CuH10SO9,[10101]
mp-744223,CsVH24(SO10)2,"[74004, 96938, 96936, 81832, 201210]"
mp-7600,Th(FeSi)2,[68209]
mp-774223,K2H2OsCCl5O2,[406409]
mp-80,Sb,"[651505, 52226]"
mp-8231,ZrSO,[36111]
mp-8636,Nb,[41512]
mp-864954,MgMoN2,[185913]
mp-867808,CoF3,[29133]
mp-902,BaZn,"[58682, 616171]"
mp-9069,K2NaAlAs2,[73280]
mp-9646,La(PO3)3,[202640]
mp-982385,Np3S5,[261300]
mp-998901,ThC,[290716]
mp-10139,Sc3SnB,"[167912, 44585, 167913, 167914]"
mp-1018022,NbInS2,[640054]
mp-1018049,LaN,"[423892, 186436]"
mp-1019138,SmSbTe,[602285]
mp-1019738,BaEu2O4,[427486]
mp-1025218,SiPt5Pb,[648402]
mp-1066751,Sr2UMn,[61290]
mp-1077228,PrInPt4,[640275]
mp-1077854,Rh3(PbSe)2,"[5441, 648427]"
mp-1078793,Th(GePt)2,[637658]
mp-1079245,SmPdPb,[657943]
mp-1079324,Cr3AsC,[609880]
mp-1079615,Ba2UCdO6,[167503]
mp-1079689,Tl3Pt,[186644]
mp-1080572,NdCoGe2,[623543]
mp-1087230,Si2Mo3,[644412]
mp-1095502,TaCoGe,[623611]
mp-1101,TmAs,"[611523, 611521, 43647]"
mp-1101808,CeSbIr,"[420488, 380302]"
mp-1101890,PRuSe,"[648028, 648027]"
mp-1102891,EuBi2,[150347]
mp-1103551,K2Se4N,[195743]
mp-1104323,VPO5,"[85565, 67996]"
mp-1104504,Nb3Te4,[602365]
mp-1001,BaN2,"[423723, 280681, 280682]"
mp-1007918,DyAu,[611786]
mp-1019730,EuZn(BO2)5,[193587]
mp-1020180,Na2SrMg(PO4)2,"[262717, 247817]"
mp-1021505,Ce(P3Os)4,[621731]
mp-10270,ScCo3C,[76793]
mp-10378,Cs3Sb,[53243]
mp-10419,Na4ReN3,[411243]
mp-1059094,GaAs,[43951]
mp-1064282,InC3,[37053]
mp-1066821,SN,[26728]
mp-1077994,SiSnPd5,[649621]
mp-1077996,Cr(RhSe2)2,[626577]
mp-1078783,La2VReO6,"[169470, 169471]"
mp-1079079,HfAsRu,"[604605, 610654]"
mp-1079196,SnPbS2,[156131]
mp-1079706,Ti5Al2C3,[187748]
mp-1079790,TbSnPt,[649683]
mp-1080070,Ti3Pd5,[167651]
mp-1080080,LaAlO3,"[180416, 180418]"
mp-1080591,CaFeAsF,[186504]
mp-1103374,BiOsSe,[616892]
mp-1103888,YbB12,"[615734, 603063, 190183]"
mp-1105243,Mn3ReO6,"[252568, 252567, 252569]"
mp-1105618,KBe2BO3F2,"[187227, 174641]"
mp-1106202,Ce2Zn5Sn,[250753]
mp-11435,Er(TiGa2)2,"[103237, 630579]"
mp-11582,LiGaSe2,"[96915, 634546]"
mp-11733,Lu3InN,[98508]
mp-1178119,LaNb2AgO7,[73983]
mp-1178801,W,[27705]
mp-1179169,SrB12(H3O2)4,[94431]
mp-1180204,NaTa7O19,[78512]
mp-1181851,ClO6,[30455]
mp-1184928,IF7,[31691]
mp-1188765,BaErMn2O5,[188495]
mp-1189171,Zn2NCl,[425734]
mp-1189749,Mg2GaB2Ir5,[614301]
mp-1190311,NaH2(SO2)2,[40833]
mp-1190549,GeO2,[291041]
mp-1190579,Cs2Cu2Sb2S5,[238192]
mp-1190785,CsDy2Cu3S5,[412073]
mp-1191155,TiP2PbO8,[421981]
mp-1191266,BiIO4,[262019]
mp-1192166,Cs4Tl2O,[422336]
mp-1192367,CsHo2Cu3Se5,[413677]
mp-1192485,Yb(Al5Os)2,[238040]
mp-1192885,CsCdI3O,[403036]
mp-1192886,NiNF3,[402541]
mp-1193571,Sc6Ga16Rh7,[635212]
mp-1193675,B,"[164658, 164659, 165132]"
mp-1193685,Rb3FeS3,[425089]
mp-1193743,CaV2O10,[17001]
mp-1193806,Er3(SbPd2)4,[174471]
mp-1194003,Hf9SiMo4,"[260996, 638632]"
mp-1194267,Cu3TePbO8,[164134]
mp-1194332,Yb(BiS2)2,[600812]
mp-1194806,Zn3H24C12(Br4O3)2,[252546]
mp-1195193,Ag12Sn7H16(Se11N2)2,[252536]
mp-1195387,V4Cu13(O13F2)2,[428791]
mp-1195620,LiH2ClO5,[430214]
mp-1196338,ScI5N3,[402256]
mp-1196536,Np2SeO9,[261698]
mp-1196773,Cs2Mo3P5O19,[69093]
mp-1197086,AlP2H18(C2Cl)3,[192498]
mp-1197341,Si3As(H3C)9,[192549]
mp-1197961,Rb3Ga2(Se2O7)2,[237572]
mp-1199237,PrSbMo2O9,[422102]
mp-1199687,Si6As2H36(C4O)3,[188773]
mp-1199740,Na2Mo15Se19,[643976]
mp-1199895,Ho3(Si3Ru)4,[600083]
mp-1200149,LiFe2(P2O7)2,[246884]
mp-1200438,ErSbMo2O9,[422107]
mp-1201229,SiH2CS(OF)3,[409803]
mp-1203163,GdV(SeO4)2,[421942]
mp-1203177,H18WC6,[183760]
mp-1204825,Gd(Zn10Co)2,[152112]
mp-1208453,Tb3Pt,[649727]
mp-12128,Li2MgIn,[51965]
mp-12286,Sr2Ta2O7,[601]
mp-12773,Zr2Al,"[609717, 150774]"
mp-13502,TmCoC2,"[55572, 617458]"
mp-14112,PdF3,[29135]
mp-14266,Cu15Si4,"[36254, 629165]"
mp-15073,BaSmC2O6F,[72444]
mp-16435,Ba3Sc4(CuO4)3,[93522]
mp-1668,YbAu2,"[612468, 612481, 612491, 58388, 612476]"
mp-18946,VBO3,"[45060, 419132]"
mp-19049,BaTeMo2O9,"[281503, 159460]"
mp-19318,Ag2MoO4,"[238014, 238013, 36187, 28891]"
mp-20091,Np2InNi2,"[106860, 107361]"
mp-20247,Dy(Fe2Ge)2,"[154832, 154834, 154838, 154836, 154830, 154839, 154828, 154831, 154837, 154833, 154829]"
mp-20954,DyTiSi,[88116]
mp-217,ErTl,"[103312, 631203, 103311]"
mp-2172,AlAs,"[606008, 67784, 656315, 606011, 185081, 606009, 606010, 659140, 190407]"
mp-22596,Ni3(PbS)2,"[646207, 24176, 646206, 654946, 159359, 417632, 108895]"
mp-22828,Eu2Ge2O7,[20694]
mp-22880,FeBr2,"[409571, 52365]"
mp-2289,CeAl4,"[606379, 57556, 606352]"
mp-23091,Ba2BiSbO6,"[172761, 162454, 92178]"
mp-23302,RbI,"[61559, 44619, 61523]"
mp-2354,Ti3Hg,"[639277, 104357]"
mp-23645,KBiS(ClO2)2,"[155203, 409773]"
mp-24356,CdH4NCl3,[2385]
mp-24688,Rb2NiH12(SO7)2,[409495]
mp-24726,TiH2,"[169609, 56184, 169608, 169604, 169603, 638501, 169607, 169606, 169605]"
mp-27125,Na6MnCl8,[1845]
mp-27609,U3Fe2Si7,[20337]
mp-27705,Li2Si,"[642372, 24146]"
mp-27907,Sb6Pb4S13,[20171]
mp-27979,LaI3,[31596]
mp-28163,K2PdF4,[33888]
mp-29216,Cs2PtCl4,[100155]
mp-29825,K2Si2O5,[280480]
mp-29939,Nb9As7Pd,[280719]
mp-30564,ThCo,"[625428, 102699, 261441, 625442]"
mp-31073,Na3B7O12,[99049]
mp-3261,Dy(BO2)3,"[413582, 409942]"
mp-3824,Ta9(NiS3)2,"[61416, 63591]"
mp-3830,NiAsS,"[611058, 611062, 53937, 93899, 20309, 611055]"
mp-3977,CsB3O5,"[2081, 25815]"
mp-4006,ErPO4,"[167090, 15670, 36052, 79758, 184547, 167089]"
mp-4595,VFe2Si,"[53555, 659019, 633623]"
mp-4819,MgGeO3,"[196439, 201660, 201661, 201664, 201662, 201663, 35534]"
mp-4822,Y(SiPd)2,"[648889, 601236, 427113]"
mp-5039,KPO3,"[15872, 26146]"
mp-505561,Na2ZnP4(H4O5)4,[280177]
mp-505577,Dy3Ge5,[76308]
mp-510209,Sc5Pb3,[105614]
mp-5354,Er3(Si3Ru)4,"[62185, 655371]"
mp-540924,NbTeI3,[35377]
mp-541587,U3Cu2Se7,[82156]
mp-542573,ThB4,"[615570, 615577, 24680, 615556, 81545]"
mp-542666,K2Cr2O7,"[24199, 34326, 166635, 10371, 59984, 59983]"
mp-554151,SiO2,[75647]
mp-554334,KVSO6,[158946]
mp-555154,K3VCO8,[60813]
mp-556070,Na5Gd(MoO4)4,[163465]
mp-557869,S,[419593]
mp-558169,NaCaAlF6,[85715]
mp-558188,AgHg2AsO4,[413087]
mp-558641,FeH44C12(N5O8)2,[110001]
mp-559557,Cs2Na2B10O17,[81477]
mp-559734,UOF4,[200058]
mp-560809,SiO2,[62584]
mp-567428,Tb3CuGeSe7,[154748]
mp-567556,CdSb2Se3Br2,[159464]
mp-567799,Ca14AlSb11,[33266]
mp-568301,BiBr3,[100294]
mp-569115,Li2ZnGe,[53678]
mp-570037,CoAu2(CN)4,[41197]
mp-570593,RbAg2(AsSe2)3,[88005]
mp-570873,Nb(Te2I3)2,[78371]
mp-571134,Se2NCl3,[84030]
mp-571541,Sr8In4Cu3N5,[96350]
mp-581913,Sr11(Ge2N3)2,[170982]
mp-582067,Hf3As,[10490]
mp-583553,Mo6PbCl14,[36572]
mp-593,Al4Cu9,"[1625, 606890, 151371, 57670, 57669]"
mp-615314,ScCoC2,[62598]
mp-622576,Ba2Sm(CuO2)3,[83132]
mp-622621,NdFeAsO,"[163547, 164679, 422001, 163546, 236651, 236650, 602466, 164680, 164676]"
mp-641539,Si3N4,[156337]
mp-684638,Al2S3,[609251]
mp-696736,RbBe2F5,[28541]
mp-7020,LiYO2,[45511]
mp-703527,H2CN2,[40446]
mp-706590,NaAl(H2N)4,[2539]
mp-706937,B9H11,[15802]
mp-707293,H2S2O7,[36516]
mp-707391,Na3AsH24SeO15,[69489]
mp-707645,Na2Ca3B5H2S2ClO18,[24458]
mp-707983,Ca2MgB2H16(CO9)2,[64685]
mp-7084,SrCaSi,[172005]
mp-720586,CaH4NClO5,[1532]
mp-720876,Cs2CuH12(SO7)2,[2926]
mp-7288,Sc2SO2,[2450]
mp-743538,CrH18(O3F)3,[2379]
mp-745166,Sr2Fe2H2OF10,[59234]
mp-752414,Tb2TiO5,[195212]
mp-774455,Na4P3H3O11,[405161]
mp-8257,Na2ZnS2,"[33235, 645008]"
mp-8402,RbMgF3,[49585]
mp-866649,NaSc(BH4)4,[166748]
mp-9126,Sr(SbO3)2,[74540]
mp-934,LiTl,"[642402, 104789, 642405, 104790]"
mp-9761,ReO3,[202338]
mp-999076,Ti2InNi,[185667]
mp-1008617,YbAg2,[605966]
mp-1008835,OsC2,[168279]
mp-1009496,OsN,[167879]
mp-1019786,K3Zn(BO2)5,[262977]
mp-1025375,YGa5Co,[623236]
mp-1025553,EuSi2Ni,[631449]
mp-1067619,Ge,[192507]
mp-1068653,CaSi3Ir,"[181447, 180962, 180961, 185377]"
mp-1077234,Mg2Ru,"[72493, 72491, 72492]"
mp-1095667,TmAlPd,[609062]
mp-1096866,CdO2,"[23415, 53990, 56153]"
mp-10989,KYbSe2,[409679]
mp-10992,DyCuAs2,[412552]
mp-1102496,EuH2,"[90295, 631320]"
mp-1102700,TmGeIr,[636748]
mp-1103243,NbNiAs,[610993]
mp-1103827,Cu(NF2)2,[39721]
mp-1104135,CaH2F4,[419144]
mp-1104181,Ni(BW)3,[615070]
mp-1104473,KCr5Se8,[602350]
mp-1105236,FeCu6(SnS4)2,[5029]
mp-1105368,NbAlBr8,[430984]
mp-11453,HfPd3,"[638769, 104254]"
mp-1180198,MnH4(CO3)2,[173896]
mp-1180943,K2HgCl4O,[10296]
mp-1182139,BaI2O,[60888]
mp-1188603,La(Sb3Ru)4,[641783]
mp-1188821,Cs3LaI6,[425948]
mp-1189335,YO3,[23011]
mp-1189402,Ta2Be17,"[616427, 616430]"
mp-1189519,UAlAu2,[657425]
mp-1189843,Np2Tc3Ge4,[658200]
mp-1190670,Gd3B7W,[656433]
mp-1192584,Na5Er4Si4O16F,[429316]
mp-1192854,Y6Zn23,[653457]
mp-1193131,Cs2PbN2(ClO3)2,[249887]
mp-1193473,KZn4SbO7,[421546]
mp-1193853,K2Mo(SO)2,[423987]
mp-1193890,Mn4SiTeCl2O7,[427408]
mp-1194888,Lu2Si4Mo3,[430056]
mp-1195320,Te2Xe(O2F5)2,[252136]
mp-1195592,Ba3GaAs3,[430168]
mp-1195850,Zn9(As3O14)2,"[54005, 54004, 59279]"
mp-1196033,BaMn9V6O26,[427745]
mp-1197483,Zn5P6(H3O5)6,[413639]
mp-1197502,CuH36S8I2(N3O4)3,[418289]
mp-1197768,Ba2LiAl(CN2)4,[426274]
mp-1197810,Cs6Dy21S34Cl,[262683]
mp-1197873,CrN3O4,"[28376, 16814]"
mp-1198536,Tb5P12Ru19,[648032]
mp-1198645,VZnP2PbO9,[168928]
mp-1198888,LaH16C4Cl3O4,[174399]
mp-1199065,Sm4GaSbS9,[261384]
mp-1199163,LiH6C3BrN2,[248317]
mp-1199199,Rb3FeMo4O15,[420802]
mp-1199669,ZnSi3GeH35C13ClO,[281729]
mp-1200370,MgB6H28(C2O)2,[249624]
mp-1200668,Cu2Si2Pb7(S2O13)2,[79141]
mp-1200731,HoH8C2O8F,[166616]
mp-1200997,ZnNi13Ge8,[637448]
mp-1201727,TiO2,[186707]
mp-1201997,H16S(N3O5)2,[248252]
mp-1202563,As2PHBr3F11,[412035]
mp-1202996,Nd3Ge13Rh4,[637309]
mp-1203016,Ba3Al3As5,[425292]
mp-1203257,La3MoO7,[247567]
mp-1203372,Sc5(CoSn3)6,[165787]
mp-1203739,K3NaAl12Si12(HO6)8,[187570]
mp-1204039,CsSb,[412154]
mp-1204135,OsXe2O3F14,[248107]
mp-12046,Rb3Na(RuO4)2,[416038]
mp-1204783,Cs3SbS4,[409619]
mp-1204894,P3PbNO9,[62158]
mp-1204948,La11Hg45,[639071]
mp-1204967,ScSe3(NO4)3,[1398]
mp-1205080,Ba2PIO4,[427715]
mp-1205254,U6Al43W4,[658877]
mp-12117,PrS2,[656241]
mp-13092,Zr6Al2Ni,[160911]
mp-13686,Nb5Si3,"[423763, 645429, 16774, 645441, 601660]"
mp-13979,Ca2Nb2O7,[26010]
mp-15391,Na4TeO5,[202325]
mp-15740,SrZn2(AsO4)2,[86629]
mp-15905,Rb2Mo9S11,[280262]
mp-16126,RbNa2Ge17,[91241]
mp-17853,YGaO3,[1999]
mp-18385,Lu2Si2O7,[171470]
mp-1842,NbAl3,"[608686, 608658, 608690, 186000, 608663, 107857, 608670, 608682, 58015, 608672]"
mp-18775,Fe3PO7,"[98430, 36207]"
mp-19897,Eu2TeO2,[89562]
mp-20282,CsPbF3,[93438]
mp-20573,DyMgIn,[55102]
mp-20727,Sb2PbO6,"[16852, 202391, 81387]"
mp-20969,NpSb,"[44383, 647210, 54306, 647205]"
mp-21588,Sc2Fe3Si5,"[41834, 633446, 633453, 633447, 247834]"
mp-2229,ZnO,"[57156, 190802, 38222, 190806, 163381, 166358, 166357, 190805, 166359, 190804, 166360, 182358, 182359, 190807, 190803]"
mp-22427,BaSr(FeO2)4,"[37011, 1943, 1838]"
mp-22484,Ba7MnFe6F34,"[71784, 65720]"
mp-23171,PrBi,"[616976, 616968, 58844, 187509]"
mp-23411,K2TeBr6,"[65117, 37270]"
mp-2486,UC2,"[619016, 618994, 604087, 24219, 31761, 619008, 14330, 74672, 168166, 619001, 202305, 26478]"
mp-2591,Ti3O,[24082]
mp-27247,Na3NbO4,[6116]
mp-27543,As4S3,"[16145, 188058]"
mp-28251,Ta2Zn3O8,[46001]
mp-29273,Ca2Ge7O16,"[200603, 249322]"
mp-29324,Li(Mo4O5)2,[201980]
mp-29468,Rb6Cl4O,[405193]
mp-30379,GaAu,"[611867, 58457]"
mp-30641,Y6Fe23,"[601836, 632229, 634089, 634109, 634115, 601833, 632232, 634086, 103701, 632233]"
mp-30757,La5Sn4,"[642008, 641993, 104723]"
mp-30993,LaIO,[24613]
mp-31076,Tl2TeBr6,[99127]
mp-31130,ErNi7B3,[99644]
mp-31142,YbBiAu,[106272]
mp-4179,YbPO4,"[36054, 79760, 173635]"
mp-4283,LaSi2Pt,"[603068, 54250, 57406]"
mp-504520,RbEu3F10,[14027]
mp-504748,P3Pb5ClO12,"[188075, 24238, 188076, 190027, 203075, 181539, 50587, 66199]"
mp-505139,TiH2SO6,[72973]
mp-510459,MnVCuO4,[170136]
mp-541403,Hg7(P2Br3)2,[73818]
mp-542334,V5O9,"[66584, 6097, 69882, 9037]"
mp-546202,Li4CO4,[245388]
mp-549970,Ba2ZnReO6,[109255]
mp-553960,K4Fe2O5,[154372]
mp-554003,Sr4Li(BO3)3,[170861]
mp-554034,KLa2NbO6,[160450]
mp-554515,KScH4(C2O5)2,[245187]
mp-555748,Bi2MoO6,[17070]
mp-555784,Na2U(MoO5)2,[94733]
mp-556587,AuSCl7,[63112]
mp-557071,KBi6ClO9,[408653]
mp-557307,Nd5Ti4FeO17,[154415]
mp-558014,S,[26463]
mp-559144,GePb3O5,[100275]
mp-559629,FeH12C2N2F5,[110675]
mp-560077,AsSXe2(OF3)3,[200036]
mp-560515,K4Ru2Cl10O,[8054]
mp-560645,Ca2NbInO6,[99697]
mp-560806,Zn2In2S5,[42443]
mp-560815,AlPO4,"[67593, 68933]"
mp-567391,Dy3Se3N,[420156]
mp-567504,CrCl3,[22081]
mp-568529,PrMg2Ni9,[55616]
mp-569265,Mg3Pt,[104858]
mp-569458,AlV4C3,[163549]
mp-569837,Ti3Sb,[43355]
mp-569974,Nd(NiP)2,[659935]
mp-572986,Cs2Np2PO4F7,[416758]
mp-581922,CsMo3Br3Cl4,[9314]
mp-5867,K3Nb8O21,"[2298, 72514]"
mp-5929,Na5SiP3,"[60077, 644926]"
mp-6174,Mg2Al4Si5O18,"[86346, 190520, 158752, 261438, 86347, 190523, 156362, 158748, 190522, 158750, 158747, 165866, 158751, 190521, 261437, 158749]"
mp-619545,CuMoO4,"[66818, 50538, 84919]"
mp-645591,Eu2(Ga3Rh)3,[416379]
mp-645592,Nb3(BiO3)5,[245707]
mp-651160,Gd3NCl6,[63582]
mp-672,CdS,"[154187, 154186, 41490, 43599, 246892, 620313, 620325, 67776, 620327, 154188, 604522, 602958, 620303, 600365, 620308, 659045, 31074, 620319, 620323, 620306, 60629, 620310, 192568]"
mp-672238,CeCuSb2,"[658226, 106383]"
mp-672352,Al(ICl2)3,[26403]
mp-6759,BaGa2(SiO4)2,"[163, 1444]"
mp-6959,Ga2NiS4,"[634901, 59230]"
mp-699445,K2P2H2O7,[84185]
mp-703316,LaMg2H7,[83956]
mp-707839,SiH14(O2F3)2,[40389]
mp-721813,AlH18CS2N3O14,"[30566, 34261]"
mp-735584,Rb2FeH2C5(N3O)2,[88336]
mp-735597,K4H4WC8(N4O)2,[87573]
mp-801,Mo3Os,"[644078, 644079, 105054]"
mp-861606,KLaSiSe4,[603185]
mp-865373,YCo,[168949]
mp-866468,CrH9(BrN)3,[260448]
mp-8700,K2Au3,[65113]
mp-981379,Zn3CdS4,"[168376, 169185]"
mp-1001611,LuTlSe2,[642602]
mp-1002122,HfIr,[185632]
mp-1009733,Ca2Si,"[191746, 187352]"
mp-1017515,Mn2CoAs,[191648]
mp-1019570,Ca8Si5O18,[190039]
mp-10274,Er3GaC,[76818]
mp-10659,Ho,"[52519, 639322, 639321]"
mp-1068021,Sm(MgBi)2,[428792]
mp-1068235,SrGe3Ir,[168861]
mp-1078713,Tb(SiIr)2,[604511]
mp-1078999,NdAlH6,"[247044, 247043]"
mp-1080603,Fe7Co,[155845]
mp-1084771,Be3P2,[187677]
mp-1094003,ZnO2,[20285]
mp-1102232,HCN,[187644]
mp-1103002,EuIn4Ni,"[404251, 631346]"
mp-1103552,Eu(AlSe2)2,[607466]
mp-1105638,Tm(BRh)4,[601589]
mp-1106023,NiSb3,"[190327, 190324]"
mp-11209,AlAs,[56967]
mp-1180742,KO2,[16828]
mp-1181187,K4MoC4(NO2)4,[6282]
mp-1188482,Tm2InAu2,[658841]
mp-1188524,Eu(P3Ru)4,[631497]
