,composition,Atoms
111,Na7Pb1I6,"[7, 1, 6]"
112,Na7Pb1I9,"[7, 1, 9]"
113,Na7Pb2I5,"[7, 2, 5]"
114,Na7Pb2I11,"[7, 2, 11]"
115,Na7Pb3I4,"[7, 3, 4]"
116,Na7Pb4I3,"[7, 4, 3]"
117,Na7Pb5I2,"[7, 5, 2]"
118,Na7Pb6I1,"[7, 6, 1]"
119,Na8Pb1I7,"[8, 1, 7]"
120,Na8Pb1I10,"[8, 1, 10]"
121,Na8Pb3I5,"[8, 3, 5]"
122,Na8Pb5I3,"[8, 5, 3]"
123,Na8Pb7I1,"[8, 7, 1]"
124,Na9Pb1I8,"[9, 1, 8]"
125,Na9Pb2I7,"[9, 2, 7]"
126,Na9Pb4I5,"[9, 4, 5]"
127,Na9Pb5I4,"[9, 5, 4]"
128,Na9Pb7I2,"[9, 7, 2]"
129,Na9Pb8I1,"[9, 8, 1]"
130,Na10Pb1I9,"[10, 1, 9]"
131,Na10Pb3I7,"[10, 3, 7]"
132,Na10Pb7I3,"[10, 7, 3]"
133,Na10Pb9I1,"[10, 9, 1]"
134,Na1Sb1Br4,"[1, 1, 4]"
135,Na1Sb2Br7,"[1, 2, 7]"
136,Na1Sb3Br10,"[1, 3, 10]"
137,Na1Sb4Br13,"[1, 4, 13]"
138,Na2Sb1Br5,"[2, 1, 5]"
139,Na2Sb3Br11,"[2, 3, 11]"
140,Na3Sb1Br6,"[3, 1, 6]"
141,Na3Sb2Br9,"[3, 2, 9]"
142,Na4Sb1Br1,"[4, 1, 1]"
143,Na4Sb1Br7,"[4, 1, 7]"
144,Na4Sb3Br13,"[4, 3, 13]"
145,Na5Sb1Br2,"[5, 1, 2]"
146,Na5Sb1Br8,"[5, 1, 8]"
147,Na5Sb2Br11,"[5, 2, 11]"
148,Na6Sb1Br3,"[6, 1, 3]"
149,Na6Sb1Br9,"[6, 1, 9]"
150,Na7Sb1Br4,"[7, 1, 4]"
151,Na7Sb1Br10,"[7, 1, 10]"
152,Na7Sb2Br1,"[7, 2, 1]"
153,Na8Sb1Br5,"[8, 1, 5]"
154,Na8Sb1Br11,"[8, 1, 11]"
155,Na9Sb1Br6,"[9, 1, 6]"
156,Na9Sb2Br3,"[9, 2, 3]"
157,Na10Sb1Br7,"[10, 1, 7]"
158,Na10Sb3Br1,"[10, 3, 1]"
159,Na11Sb1Br8,"[11, 1, 8]"
160,Na11Sb2Br5,"[11, 2, 5]"
161,Na11Sb3Br2,"[11, 3, 2]"
162,Na13Sb3Br4,"[13, 3, 4]"
163,Na13Sb4Br1,"[13, 4, 1]"
164,Na1Sb1I4,"[1, 1, 4]"
165,Na1Sb2I7,"[1, 2, 7]"
166,Na1Sb3I10,"[1, 3, 10]"
167,Na1Sb4I13,"[1, 4, 13]"
168,Na2Sb1I5,"[2, 1, 5]"
169,Na2Sb3I11,"[2, 3, 11]"
170,Na3Sb1I6,"[3, 1, 6]"
171,Na3Sb2I9,"[3, 2, 9]"
172,Na4Sb1I1,"[4, 1, 1]"
173,Na4Sb1I7,"[4, 1, 7]"
174,Na4Sb3I13,"[4, 3, 13]"
175,Na5Sb1I2,"[5, 1, 2]"
176,Na5Sb1I8,"[5, 1, 8]"
177,Na5Sb2I11,"[5, 2, 11]"
178,Na6Sb1I3,"[6, 1, 3]"
179,Na6Sb1I9,"[6, 1, 9]"
180,Na7Sb1I4,"[7, 1, 4]"
181,Na7Sb1I10,"[7, 1, 10]"
182,Na7Sb2I1,"[7, 2, 1]"
183,Na8Sb1I5,"[8, 1, 5]"
184,Na8Sb1I11,"[8, 1, 11]"
185,Na9Sb1I6,"[9, 1, 6]"
186,Na9Sb2I3,"[9, 2, 3]"
187,Na10Sb1I7,"[10, 1, 7]"
188,Na10Sb3I1,"[10, 3, 1]"
189,Na11Sb1I8,"[11, 1, 8]"
190,Na11Sb2I5,"[11, 2, 5]"
191,Na11Sb3I2,"[11, 3, 2]"
192,Na13Sb3I4,"[13, 3, 4]"
193,Na13Sb4I1,"[13, 4, 1]"
194,Na1Sn1Br5,"[1, 1, 5]"
195,Na1Sn2Br9,"[1, 2, 9]"
196,Na1Sn3Br13,"[1, 3, 13]"
197,Na2Sn1Br6,"[2, 1, 6]"
198,Na2Sn3Br14,"[2, 3, 14]"
199,Na3Sn1Br7,"[3, 1, 7]"
200,Na3Sn2Br11,"[3, 2, 11]"
201,Na4Sn1Br8,"[4, 1, 8]"
202,Na5Sn1Br9,"[5, 1, 9]"
203,Na5Sn2Br13,"[5, 2, 13]"
204,Na6Sn1Br10,"[6, 1, 10]"
205,Na7Sn1Br11,"[7, 1, 11]"
206,Na1Sn1I5,"[1, 1, 5]"
207,Na1Sn2I9,"[1, 2, 9]"
208,Na1Sn3I13,"[1, 3, 13]"
209,Na2Sn1I6,"[2, 1, 6]"
210,Na2Sn3I14,"[2, 3, 14]"
211,Na3Sn1I7,"[3, 1, 7]"
212,Na3Sn2I11,"[3, 2, 11]"
213,Na4Sn1I8,"[4, 1, 8]"
214,Na5Sn1I9,"[5, 1, 9]"
215,Na5Sn2I13,"[5, 2, 13]"
216,Na6Sn1I10,"[6, 1, 10]"
217,Na7Sn1I11,"[7, 1, 11]"
218,Na1In1Br4,"[1, 1, 4]"
219,Na1In2Br7,"[1, 2, 7]"
220,Na1In3Br10,"[1, 3, 10]"
221,Na1In4Br13,"[1, 4, 13]"
222,Na2In1Br5,"[2, 1, 5]"
223,Na2In3Br11,"[2, 3, 11]"
224,Na3In1Br6,"[3, 1, 6]"
225,Na3In2Br9,"[3, 2, 9]"
226,Na4In1Br7,"[4, 1, 7]"
227,Na4In3Br13,"[4, 3, 13]"
228,Na5In1Br8,"[5, 1, 8]"
229,Na5In2Br11,"[5, 2, 11]"
230,Na6In1Br9,"[6, 1, 9]"
231,Na7In1Br10,"[7, 1, 10]"
232,Na8In1Br11,"[8, 1, 11]"
233,Na1In1I4,"[1, 1, 4]"
234,Na1In2I7,"[1, 2, 7]"
235,Na1In3I10,"[1, 3, 10]"
236,Na1In4I13,"[1, 4, 13]"
237,Na2In1I5,"[2, 1, 5]"
238,Na2In3I11,"[2, 3, 11]"
239,Na3In1I6,"[3, 1, 6]"
240,Na3In2I9,"[3, 2, 9]"
241,Na4In1I7,"[4, 1, 7]"
242,Na4In3I13,"[4, 3, 13]"
243,Na5In1I8,"[5, 1, 8]"
244,Na5In2I11,"[5, 2, 11]"
245,Na6In1I9,"[6, 1, 9]"
246,Na7In1I10,"[7, 1, 10]"
247,Na8In1I11,"[8, 1, 11]"
248,K1Bi1Br4,"[1, 1, 4]"
249,K1Bi2Br7,"[1, 2, 7]"
250,K1Bi3Br10,"[1, 3, 10]"
251,K1Bi4Br13,"[1, 4, 13]"
252,K2Bi1Br5,"[2, 1, 5]"
253,K2Bi3Br11,"[2, 3, 11]"
254,K3Bi1Br6,"[3, 1, 6]"
255,K3Bi2Br9,"[3, 2, 9]"
256,K4Bi1Br7,"[4, 1, 7]"
257,K4Bi3Br13,"[4, 3, 13]"
258,K5Bi1Br8,"[5, 1, 8]"
259,K5Bi2Br11,"[5, 2, 11]"
260,K6Bi1Br9,"[6, 1, 9]"
261,K7Bi1Br10,"[7, 1, 10]"
262,K8Bi1Br11,"[8, 1, 11]"
263,K1Bi1I4,"[1, 1, 4]"
264,K1Bi2I7,"[1, 2, 7]"
265,K1Bi3I10,"[1, 3, 10]"
266,K1Bi4I13,"[1, 4, 13]"
267,K2Bi1I5,"[2, 1, 5]"
268,K2Bi3I11,"[2, 3, 11]"
269,K3Bi1I6,"[3, 1, 6]"
270,K3Bi2I9,"[3, 2, 9]"
271,K4Bi1I7,"[4, 1, 7]"
272,K4Bi3I13,"[4, 3, 13]"
273,K5Bi1I8,"[5, 1, 8]"
274,K5Bi2I11,"[5, 2, 11]"
275,K6Bi1I9,"[6, 1, 9]"
276,K7Bi1I10,"[7, 1, 10]"
277,K8Bi1I11,"[8, 1, 11]"
278,K1Pb1Br3,"[1, 1, 3]"
279,K1Pb2Br5,"[1, 2, 5]"
280,K1Pb3Br7,"[1, 3, 7]"
281,K1Pb4Br9,"[1, 4, 9]"
282,K1Pb5Br11,"[1, 5, 11]"
283,K1Pb6Br13,"[1, 6, 13]"
284,K2Pb1Br1,"[2, 1, 1]"
285,K2Pb1Br4,"[2, 1, 4]"
286,K2Pb3Br8,"[2, 3, 8]"
287,K2Pb5Br12,"[2, 5, 12]"
288,K3Pb1Br2,"[3, 1, 2]"
289,K3Pb1Br5,"[3, 1, 5]"
290,K3Pb2Br1,"[3, 2, 1]"
291,K3Pb2Br7,"[3, 2, 7]"
292,K3Pb4Br11,"[3, 4, 11]"
293,K4Pb1Br3,"[4, 1, 3]"
294,K4Pb1Br6,"[4, 1, 6]"
295,K4Pb3Br1,"[4, 3, 1]"
296,K4Pb3Br10,"[4, 3, 10]"
297,K5Pb1Br4,"[5, 1, 4]"
298,K5Pb1Br7,"[5, 1, 7]"
299,K5Pb2Br3,"[5, 2, 3]"
300,K5Pb2Br9,"[5, 2, 9]"
301,K5Pb3Br2,"[5, 3, 2]"
302,K5Pb3Br11,"[5, 3, 11]"
303,K5Pb4Br1,"[5, 4, 1]"
304,K6Pb1Br5,"[6, 1, 5]"
305,K6Pb1Br8,"[6, 1, 8]"
306,K6Pb5Br1,"[6, 5, 1]"
307,K7Pb1Br6,"[7, 1, 6]"
308,K7Pb1Br9,"[7, 1, 9]"
309,K7Pb2Br5,"[7, 2, 5]"
310,K7Pb2Br11,"[7, 2, 11]"
311,K7Pb3Br4,"[7, 3, 4]"
312,K7Pb4Br3,"[7, 4, 3]"
313,K7Pb5Br2,"[7, 5, 2]"
314,K7Pb6Br1,"[7, 6, 1]"
315,K8Pb1Br7,"[8, 1, 7]"
316,K8Pb1Br10,"[8, 1, 10]"
317,K8Pb3Br5,"[8, 3, 5]"
318,K8Pb5Br3,"[8, 5, 3]"
319,K8Pb7Br1,"[8, 7, 1]"
320,K9Pb1Br8,"[9, 1, 8]"
321,K9Pb2Br7,"[9, 2, 7]"
322,K9Pb4Br5,"[9, 4, 5]"
323,K9Pb5Br4,"[9, 5, 4]"
324,K9Pb7Br2,"[9, 7, 2]"
325,K9Pb8Br1,"[9, 8, 1]"
326,K10Pb1Br9,"[10, 1, 9]"
327,K10Pb3Br7,"[10, 3, 7]"
328,K10Pb7Br3,"[10, 7, 3]"
329,K10Pb9Br1,"[10, 9, 1]"
330,K1Pb1I3,"[1, 1, 3]"
331,K1Pb2I5,"[1, 2, 5]"
332,K1Pb3I7,"[1, 3, 7]"
333,K1Pb4I9,"[1, 4, 9]"
334,K1Pb5I11,"[1, 5, 11]"
335,K1Pb6I13,"[1, 6, 13]"
336,K2Pb1I1,"[2, 1, 1]"
337,K2Pb1I4,"[2, 1, 4]"
338,K2Pb3I8,"[2, 3, 8]"
339,K2Pb5I12,"[2, 5, 12]"
340,K3Pb1I2,"[3, 1, 2]"
341,K3Pb1I5,"[3, 1, 5]"
342,K3Pb2I1,"[3, 2, 1]"
343,K3Pb2I7,"[3, 2, 7]"
344,K3Pb4I11,"[3, 4, 11]"
345,K4Pb1I3,"[4, 1, 3]"
346,K4Pb1I6,"[4, 1, 6]"
347,K4Pb3I1,"[4, 3, 1]"
348,K4Pb3I10,"[4, 3, 10]"
349,K5Pb1I4,"[5, 1, 4]"
350,K5Pb1I7,"[5, 1, 7]"
351,K5Pb2I3,"[5, 2, 3]"
352,K5Pb2I9,"[5, 2, 9]"
353,K5Pb3I2,"[5, 3, 2]"
354,K5Pb3I11,"[5, 3, 11]"
355,K5Pb4I1,"[5, 4, 1]"
356,K6Pb1I5,"[6, 1, 5]"
357,K6Pb1I8,"[6, 1, 8]"
358,K6Pb5I1,"[6, 5, 1]"
359,K7Pb1I6,"[7, 1, 6]"
360,K7Pb1I9,"[7, 1, 9]"
361,K7Pb2I5,"[7, 2, 5]"
362,K7Pb2I11,"[7, 2, 11]"
363,K7Pb3I4,"[7, 3, 4]"
364,K7Pb4I3,"[7, 4, 3]"
365,K7Pb5I2,"[7, 5, 2]"
366,K7Pb6I1,"[7, 6, 1]"
367,K8Pb1I7,"[8, 1, 7]"
368,K8Pb1I10,"[8, 1, 10]"
369,K8Pb3I5,"[8, 3, 5]"
370,K8Pb5I3,"[8, 5, 3]"
371,K8Pb7I1,"[8, 7, 1]"
372,K9Pb1I8,"[9, 1, 8]"
373,K9Pb2I7,"[9, 2, 7]"
374,K9Pb4I5,"[9, 4, 5]"
375,K9Pb5I4,"[9, 5, 4]"
376,K9Pb7I2,"[9, 7, 2]"
377,K9Pb8I1,"[9, 8, 1]"
378,K10Pb1I9,"[10, 1, 9]"
379,K10Pb3I7,"[10, 3, 7]"
380,K10Pb7I3,"[10, 7, 3]"
381,K10Pb9I1,"[10, 9, 1]"
382,K1Sb1Br4,"[1, 1, 4]"
383,K1Sb2Br7,"[1, 2, 7]"
384,K1Sb3Br10,"[1, 3, 10]"
385,K1Sb4Br13,"[1, 4, 13]"
386,K2Sb1Br5,"[2, 1, 5]"
387,K2Sb3Br11,"[2, 3, 11]"
388,K3Sb1Br6,"[3, 1, 6]"
389,K3Sb2Br9,"[3, 2, 9]"
390,K4Sb1Br1,"[4, 1, 1]"
391,K4Sb1Br7,"[4, 1, 7]"
392,K4Sb3Br13,"[4, 3, 13]"
393,K5Sb1Br2,"[5, 1, 2]"
394,K5Sb1Br8,"[5, 1, 8]"
395,K5Sb2Br11,"[5, 2, 11]"
396,K6Sb1Br3,"[6, 1, 3]"
397,K6Sb1Br9,"[6, 1, 9]"
398,K7Sb1Br4,"[7, 1, 4]"
399,K7Sb1Br10,"[7, 1, 10]"
400,K7Sb2Br1,"[7, 2, 1]"
401,K8Sb1Br5,"[8, 1, 5]"
402,K8Sb1Br11,"[8, 1, 11]"
403,K9Sb1Br6,"[9, 1, 6]"
404,K9Sb2Br3,"[9, 2, 3]"
405,K10Sb1Br7,"[10, 1, 7]"
406,K10Sb3Br1,"[10, 3, 1]"
407,K11Sb1Br8,"[11, 1, 8]"
408,K11Sb2Br5,"[11, 2, 5]"
409,K11Sb3Br2,"[11, 3, 2]"
410,K13Sb3Br4,"[13, 3, 4]"
411,K13Sb4Br1,"[13, 4, 1]"
412,K1Sb1I4,"[1, 1, 4]"
413,K1Sb2I7,"[1, 2, 7]"
414,K1Sb3I10,"[1, 3, 10]"
415,K1Sb4I13,"[1, 4, 13]"
416,K2Sb1I5,"[2, 1, 5]"
417,K2Sb3I11,"[2, 3, 11]"
418,K3Sb1I6,"[3, 1, 6]"
419,K3Sb2I9,"[3, 2, 9]"
420,K4Sb1I1,"[4, 1, 1]"
421,K4Sb1I7,"[4, 1, 7]"
422,K4Sb3I13,"[4, 3, 13]"
423,K5Sb1I2,"[5, 1, 2]"
424,K5Sb1I8,"[5, 1, 8]"
425,K5Sb2I11,"[5, 2, 11]"
426,K6Sb1I3,"[6, 1, 3]"
427,K6Sb1I9,"[6, 1, 9]"
428,K7Sb1I4,"[7, 1, 4]"
429,K7Sb1I10,"[7, 1, 10]"
430,K7Sb2I1,"[7, 2, 1]"
431,K8Sb1I5,"[8, 1, 5]"
432,K8Sb1I11,"[8, 1, 11]"
433,K9Sb1I6,"[9, 1, 6]"
434,K9Sb2I3,"[9, 2, 3]"
435,K10Sb1I7,"[10, 1, 7]"
436,K10Sb3I1,"[10, 3, 1]"
437,K11Sb1I8,"[11, 1, 8]"
438,K11Sb2I5,"[11, 2, 5]"
439,K11Sb3I2,"[11, 3, 2]"
440,K13Sb3I4,"[13, 3, 4]"
441,K13Sb4I1,"[13, 4, 1]"
442,K1Sn1Br5,"[1, 1, 5]"
443,K1Sn2Br9,"[1, 2, 9]"
444,K1Sn3Br13,"[1, 3, 13]"
445,K2Sn1Br6,"[2, 1, 6]"
446,K2Sn3Br14,"[2, 3, 14]"
447,K3Sn1Br7,"[3, 1, 7]"
448,K3Sn2Br11,"[3, 2, 11]"
449,K4Sn1Br8,"[4, 1, 8]"
450,K5Sn1Br9,"[5, 1, 9]"
451,K5Sn2Br13,"[5, 2, 13]"
452,K6Sn1Br10,"[6, 1, 10]"
453,K7Sn1Br11,"[7, 1, 11]"
454,K1Sn1I5,"[1, 1, 5]"
455,K1Sn2I9,"[1, 2, 9]"
456,K1Sn3I13,"[1, 3, 13]"
457,K2Sn1I6,"[2, 1, 6]"
458,K2Sn3I14,"[2, 3, 14]"
459,K3Sn1I7,"[3, 1, 7]"
460,K3Sn2I11,"[3, 2, 11]"
461,K4Sn1I8,"[4, 1, 8]"
462,K5Sn1I9,"[5, 1, 9]"
463,K5Sn2I13,"[5, 2, 13]"
464,K6Sn1I10,"[6, 1, 10]"
465,K7Sn1I11,"[7, 1, 11]"
466,K1In1Br4,"[1, 1, 4]"
467,K1In2Br7,"[1, 2, 7]"
468,K1In3Br10,"[1, 3, 10]"
469,K1In4Br13,"[1, 4, 13]"
470,K2In1Br5,"[2, 1, 5]"
471,K2In3Br11,"[2, 3, 11]"
472,K3In1Br6,"[3, 1, 6]"
473,K3In2Br9,"[3, 2, 9]"
474,K4In1Br7,"[4, 1, 7]"
475,K4In3Br13,"[4, 3, 13]"
476,K5In1Br8,"[5, 1, 8]"
477,K5In2Br11,"[5, 2, 11]"
478,K6In1Br9,"[6, 1, 9]"
479,K7In1Br10,"[7, 1, 10]"
480,K8In1Br11,"[8, 1, 11]"
481,K1In1I4,"[1, 1, 4]"
482,K1In2I7,"[1, 2, 7]"
483,K1In3I10,"[1, 3, 10]"
484,K1In4I13,"[1, 4, 13]"
485,K2In1I5,"[2, 1, 5]"
486,K2In3I11,"[2, 3, 11]"
487,K3In1I6,"[3, 1, 6]"
488,K3In2I9,"[3, 2, 9]"
489,K4In1I7,"[4, 1, 7]"
490,K4In3I13,"[4, 3, 13]"
491,K5In1I8,"[5, 1, 8]"
492,K5In2I11,"[5, 2, 11]"
493,K6In1I9,"[6, 1, 9]"
494,K7In1I10,"[7, 1, 10]"
495,K8In1I11,"[8, 1, 11]"
496,Rb1Bi1Br4,"[1, 1, 4]"
497,Rb1Bi2Br7,"[1, 2, 7]"
498,Rb1Bi3Br10,"[1, 3, 10]"
499,Rb1Bi4Br13,"[1, 4, 13]"
500,Rb2Bi1Br5,"[2, 1, 5]"
501,Rb2Bi3Br11,"[2, 3, 11]"
502,Rb3Bi1Br6,"[3, 1, 6]"
503,Rb3Bi2Br9,"[3, 2, 9]"
504,Rb4Bi1Br7,"[4, 1, 7]"
505,Rb4Bi3Br13,"[4, 3, 13]"
506,Rb5Bi1Br8,"[5, 1, 8]"
507,Rb5Bi2Br11,"[5, 2, 11]"
508,Rb6Bi1Br9,"[6, 1, 9]"
509,Rb7Bi1Br10,"[7, 1, 10]"
510,Rb8Bi1Br11,"[8, 1, 11]"
511,Rb1Bi1I4,"[1, 1, 4]"
512,Rb1Bi2I7,"[1, 2, 7]"
513,Rb1Bi3I10,"[1, 3, 10]"
514,Rb1Bi4I13,"[1, 4, 13]"
515,Rb2Bi1I5,"[2, 1, 5]"
516,Rb2Bi3I11,"[2, 3, 11]"
517,Rb3Bi1I6,"[3, 1, 6]"
518,Rb3Bi2I9,"[3, 2, 9]"
519,Rb4Bi1I7,"[4, 1, 7]"
520,Rb4Bi3I13,"[4, 3, 13]"
521,Rb5Bi1I8,"[5, 1, 8]"
522,Rb5Bi2I11,"[5, 2, 11]"
523,Rb6Bi1I9,"[6, 1, 9]"
524,Rb7Bi1I10,"[7, 1, 10]"
525,Rb8Bi1I11,"[8, 1, 11]"
526,Rb1Pb1Br3,"[1, 1, 3]"
527,Rb1Pb2Br5,"[1, 2, 5]"
528,Rb1Pb3Br7,"[1, 3, 7]"
529,Rb1Pb4Br9,"[1, 4, 9]"
530,Rb1Pb5Br11,"[1, 5, 11]"
531,Rb1Pb6Br13,"[1, 6, 13]"
532,Rb2Pb1Br1,"[2, 1, 1]"
533,Rb2Pb1Br4,"[2, 1, 4]"
534,Rb2Pb3Br8,"[2, 3, 8]"
535,Rb2Pb5Br12,"[2, 5, 12]"
536,Rb3Pb1Br2,"[3, 1, 2]"
537,Rb3Pb1Br5,"[3, 1, 5]"
538,Rb3Pb2Br1,"[3, 2, 1]"
539,Rb3Pb2Br7,"[3, 2, 7]"
540,Rb3Pb4Br11,"[3, 4, 11]"
541,Rb4Pb1Br3,"[4, 1, 3]"
542,Rb4Pb1Br6,"[4, 1, 6]"
543,Rb4Pb3Br1,"[4, 3, 1]"
544,Rb4Pb3Br10,"[4, 3, 10]"
545,Rb5Pb1Br4,"[5, 1, 4]"
546,Rb5Pb1Br7,"[5, 1, 7]"
547,Rb5Pb2Br3,"[5, 2, 3]"
548,Rb5Pb2Br9,"[5, 2, 9]"
549,Rb5Pb3Br2,"[5, 3, 2]"
550,Rb5Pb3Br11,"[5, 3, 11]"
551,Rb5Pb4Br1,"[5, 4, 1]"
552,Rb6Pb1Br5,"[6, 1, 5]"
553,Rb6Pb1Br8,"[6, 1, 8]"
554,Rb6Pb5Br1,"[6, 5, 1]"
555,Rb7Pb1Br6,"[7, 1, 6]"
556,Rb7Pb1Br9,"[7, 1, 9]"
557,Rb7Pb2Br5,"[7, 2, 5]"
558,Rb7Pb2Br11,"[7, 2, 11]"
559,Rb7Pb3Br4,"[7, 3, 4]"
560,Rb7Pb4Br3,"[7, 4, 3]"
561,Rb7Pb5Br2,"[7, 5, 2]"
562,Rb7Pb6Br1,"[7, 6, 1]"
563,Rb8Pb1Br7,"[8, 1, 7]"
564,Rb8Pb1Br10,"[8, 1, 10]"
565,Rb8Pb3Br5,"[8, 3, 5]"
566,Rb8Pb5Br3,"[8, 5, 3]"
567,Rb8Pb7Br1,"[8, 7, 1]"
568,Rb9Pb1Br8,"[9, 1, 8]"
569,Rb9Pb2Br7,"[9, 2, 7]"
570,Rb9Pb4Br5,"[9, 4, 5]"
571,Rb9Pb5Br4,"[9, 5, 4]"
572,Rb9Pb7Br2,"[9, 7, 2]"
573,Rb9Pb8Br1,"[9, 8, 1]"
574,Rb10Pb1Br9,"[10, 1, 9]"
575,Rb10Pb3Br7,"[10, 3, 7]"
576,Rb10Pb7Br3,"[10, 7, 3]"
577,Rb10Pb9Br1,"[10, 9, 1]"
578,Rb1Pb1I3,"[1, 1, 3]"
579,Rb1Pb2I5,"[1, 2, 5]"
580,Rb1Pb3I7,"[1, 3, 7]"
